Section,Key,,,,,,
general,Label,2022-1-27 Braille Trial 1,2022-1-27 Braille Trial 2,2022-1-27 Braille Trial 3,2022-1-27 Braille Trial 4,2022-1-27 Braille Trial 5,2022-1-27 Braille Trial 6
shell,wall_x_extruder_nr,-1,-1,-1,-1,-1,-1
shell,wall_thickness,1,1,1,1,1,1
shell,wall_line_count,5,5,5,5,5,5
shell,wall_0_wipe_dist,0.2,0.2,0.2,0.2,0.2,0.2
shell,wall_0_inset,0,0,0,0,0,0
shell,optimize_wall_printing_order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,outer_inset_first,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shell,alternate_extra_perimeter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shell,travel_compensate_overlapping_walls_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,travel_compensate_overlapping_walls_0_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,travel_compensate_overlapping_walls_x_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,wall_min_flow,0,0,0,0,0,0
shell,fill_perimeter_gaps,everywhere,everywhere,everywhere,everywhere,everywhere,everywhere
shell,filter_out_tiny_gaps,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,fill_outline_gaps,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,xy_offset,0,0,0,0,0,0
shell,xy_offset_layer_0,0,0,0,0,0,0
shell,hole_xy_offset,0,0,0,0,0,0
shell,z_seam_type,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner
shell,z_seam_corner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner
top_bottom,top_bottom_extruder_nr,-1,-1,-1,-1,-1,-1
top_bottom,top_bottom_thickness,0,0,0,0,0,0
top_bottom,top_thickness,0,0,0,0,0,0
top_bottom,top_layers,0,0,0,0,0,0
top_bottom,bottom_thickness,0,0,0,0,0,0
top_bottom,bottom_layers,0,0,0,0,0,0
top_bottom,initial_bottom_layers,0,0,0,0,0,0
top_bottom,ironing_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,infill_extruder_nr,0,0,0,0,0,0
infill,infill_sparse_density,20,20,20,20,20,20
infill,infill_line_distance,2,2,2,2,2,2
infill,infill_pattern,lines,lines,lines,lines,lines,lines
infill,zig_zaggify_infill,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
infill,connect_infill_polygons,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
